id,nombre_receta,calorias,proteinas,grasas,carbohidratos,ingredientes,tiempo_min,saludable,etiqueta,tipo_preparacion
272,Receta 272,689,30.3,12.1,26.5,"leche descremada, yogur, avena",51,1,baja en grasas,elaborado
273,Receta 273,342,8.5,23.1,14.6,"leche descremada, avena, fruta",12,1,baja en grasas,rapido
274,Receta 274,435,5.7,31.2,55.3,"espinaca, aguacate, huevo",40,1,baja en carbohidratos,elaborado
275,Receta 275,778,9.1,24.5,85.6,"queso, aguacate, espinaca",6,1,baja en carbohidratos,rapido
276,Receta 276,375,18.9,17.9,86.9,"avena, manzana, chia",31,1,alta en fibra,elaborado
277,Receta 277,319,36.8,35,34.5,"pollo, aguacate, espinaca",41,1,baja en carbohidratos,elaborado
278,Receta 278,502,31.9,31.7,12,"pepino, lechuga, tomate",25,1,vegetariana,rapido
279,Receta 279,421,20.8,18.2,21,"salchicha, crema, fritos",30,0,no saludable,elaborado
280,Receta 280,177,19.2,4.1,55.9,"fritos, salchicha, queso",58,0,no saludable,elaborado
281,Receta 281,699,15.1,23.4,60.1,"platano, avena, leche descremada",16,1,baja en grasas,rapido
282,Receta 282,221,13.6,34.6,85,"crema, mantequilla, queso",12,0,no saludable,rapido
283,Receta 283,313,39.7,34.6,9.9,"chia, manzana, pan integral",6,1,alta en fibra,rapido
284,Receta 284,711,27.7,32.7,55.5,"fruta, leche descremada, platano",59,1,baja en grasas,elaborado
285,Receta 285,428,14.4,23.8,24.6,"tofu, carne, pollo",21,1,alta en proteinas,rapido
286,Receta 286,888,27.3,15.5,5.6,"lechuga, brocoli, zanahoria",20,1,vegetariana,rapido
287,Receta 287,261,10.3,32.7,10.1,"espinaca, zanahoria, lechuga",59,1,vegetariana,elaborado
288,Receta 288,374,28.8,18,15.3,"tofu, carne, pescado",29,1,alta en proteinas,rapido
289,Receta 289,189,10.9,31.3,45.7,"fritos, queso, crema",50,0,no saludable,elaborado
290,Receta 290,782,20.6,4.4,74.2,"queso, aguacate, pollo",20,1,baja en carbohidratos,rapido
291,Receta 291,806,17.6,6.5,4.6,"pan integral, manzana, chia",26,1,alta en fibra,rapido
292,Receta 292,772,31.6,19.3,79.7,"pollo, tofu, huevo",36,1,alta en proteinas,elaborado
293,Receta 293,670,39.6,20.2,54.5,"avena, zanahoria, platano",20,1,baja en grasas,rapido
294,Receta 294,791,29.4,30.6,21.8,"tomate, espinaca, brocoli",46,1,vegetariana,elaborado
295,Receta 295,478,10.8,18.2,11.6,"pepino, zanahoria, tofu",55,1,vegetariana,elaborado
296,Receta 296,827,17.2,8.2,42,"mantequilla, salchicha, fritos",33,0,no saludable,elaborado
297,Receta 297,538,39,20.1,82.2,"espinaca, aguacate, queso",17,1,baja en carbohidratos,rapido
298,Receta 298,227,36.8,21.4,38.2,"tofu, proteina vegetal, huevo",52,1,alta en proteinas,elaborado
299,Receta 299,562,7.3,32.4,6.4,"tofu, proteina vegetal, pollo",35,1,alta en proteinas,elaborado
300,Receta 300,335,14,9.3,77.6,"pepino, pollo, espinaca",36,1,baja en carbohidratos,elaborado
301,Receta 301,549,22.3,10.5,44.4,"nopal, cebolla, huevo, espinaca, carne",60,1,alta en fibra,rapido
302,Receta 302,514,23.6,15,62.2,"arroz, brócoli, lechuga, pepino",36,1,baja en carbohidratos,elaborado
303,Receta 303,518,15.8,13.1,46.1,"zanahoria, nopal, pasta, quinoa, aguacate",18,1,vegetariana,elaborado
304,Receta 304,454,8.1,9.5,36.3,"quinoa, pescado, tortilla, frijoles",59,1,vegetariana,elaborado
305,Receta 305,682,7.1,13.9,78.5,"calabaza, tofu, carne",16,1,baja en grasas,elaborado
306,Receta 306,500,4,5.5,77.3,"huevo, brócoli, pescado, pepino, arroz",56,1,vegetariana,rapido
307,Receta 307,445,9,11.2,43.1,"carne, huevo, pepino",49,1,baja en carbohidratos,rapido
308,Receta 308,331,18.1,26.9,33,"cebolla, aguacate, tortilla, pepino",31,1,vegetariana,rapido
309,Receta 309,315,20.6,27,12.7,"lechuga, nopal, pepino, pescado",16,0,no saludable,elaborado
310,Receta 310,216,10.1,28.5,28.7,"zanahoria, queso, arroz",47,1,vegetariana,elaborado
311,Receta 311,454,15.2,21.6,27.3,"cebolla, frijoles, nopal",56,1,alta en proteinas,rapido
312,Receta 312,607,17.5,9,54.7,"arroz, zanahoria, lechuga, pescado",11,1,alta en fibra,rapido
313,Receta 313,374,21.9,27.8,63.1,"pan, quinoa, aguacate",25,1,baja en carbohidratos,elaborado
314,Receta 314,467,18.5,28.5,58.7,"tortilla, tofu, huevo",12,1,baja en carbohidratos,rapido
315,Receta 315,617,12.4,15.5,76.2,"carne, queso, nopal, aguacate",21,1,baja en grasas,rapido
316,Receta 316,280,21.2,8.9,38.1,"pan, nopal, queso, espinaca",15,1,baja en carbohidratos,elaborado
317,Receta 317,298,10.6,18.5,37.9,"lentejas, cebolla, queso, huevo",31,1,baja en grasas,elaborado
318,Receta 318,667,3.1,11.9,31.1,"pescado, pollo, quinoa",23,1,alta en fibra,rapido
319,Receta 319,396,24.2,2.9,72.4,"lechuga, pescado, cebolla, pan",24,1,alta en fibra,elaborado
320,Receta 320,567,8.2,20.5,53.4,"huevo, tofu, pollo, brócoli, aguacate",37,1,alta en proteinas,elaborado
321,Receta 321,627,12.4,13.5,37.3,"brócoli, lentejas, zanahoria",27,0,no saludable,rapido
322,Receta 322,465,11.9,6.5,10.1,"pescado, lechuga, aguacate",32,1,vegetariana,rapido
323,Receta 323,510,20.7,24.1,43.8,"tortilla, pollo, jitomate, huevo",54,1,baja en carbohidratos,rapido
324,Receta 324,622,18.2,27.5,58.2,"pollo, zanahoria, quinoa",17,1,alta en proteinas,elaborado
325,Receta 325,280,22.4,3,78.8,"pan, tofu, pescado, pollo",16,1,alta en proteinas,rapido
326,Receta 326,283,13.8,15.4,76.5,"huevo, tortilla, brócoli, frijoles, zanahoria",36,1,baja en grasas,rapido
327,Receta 327,580,21,23.4,17.3,"quinoa, zanahoria, tofu",33,1,baja en grasas,rapido
328,Receta 328,684,5.6,29.6,43.6,"tofu, lechuga, zanahoria, pollo",57,1,baja en grasas,elaborado
329,Receta 329,214,15.3,10.1,40.2,"queso, lentejas, pollo, nopal, aguacate",30,1,vegetariana,elaborado
330,Receta 330,419,21.6,13.2,25.7,"pasta, pollo, huevo, pescado",52,1,baja en grasas,elaborado
331,Receta 331,629,20.4,26.9,76.2,"pepino, jitomate, pollo, aguacate, queso",58,1,baja en grasas,rapido
332,Receta 332,387,12.1,30,33.7,"lentejas, pepino, arroz, pescado",15,0,no saludable,rapido
333,Receta 333,352,23.5,19.9,42.1,"pan, quinoa, tortilla, huevo, pescado",29,1,alta en fibra,elaborado
334,Receta 334,278,20.6,24.5,11,"carne, arroz, pasta",19,0,no saludable,rapido
335,Receta 335,522,14,2.6,50.6,"pan, tortilla, arroz, queso, lechuga",55,1,alta en proteinas,elaborado
336,Receta 336,350,13.2,11.7,11.8,"frijoles, zanahoria, queso, jitomate, nopal",39,1,vegetariana,elaborado
337,Receta 337,539,8.5,12.5,31,"pasta, arroz, tofu, pescado",32,1,baja en grasas,rapido
338,Receta 338,349,19.3,20.5,63.1,"cebolla, zanahoria, quinoa, jitomate",12,1,alta en fibra,rapido
339,Receta 339,421,24,18.9,72.4,"arroz, nopal, frijoles, huevo",39,1,alta en proteinas,elaborado
340,Receta 340,677,7.4,16.9,62.8,"espinaca, aguacate, pollo, huevo, pan",37,1,baja en grasas,elaborado
341,Receta 341,327,23,10.7,57.8,"tofu, pollo, aguacate",38,1,alta en fibra,rapido
342,Receta 342,571,7.6,4.4,27,"tofu, pescado, zanahoria",60,0,no saludable,rapido
343,Receta 343,576,10.7,29.5,54.8,"zanahoria, pollo, carne, nopal, arroz",12,1,alta en proteinas,elaborado
344,Receta 344,370,23.8,6.8,68.6,"zanahoria, lentejas, calabaza, huevo, lechuga",13,1,alta en proteinas,elaborado
345,Receta 345,430,10.2,15.1,78.9,"espinaca, huevo, nopal",12,1,vegetariana,rapido
346,Receta 346,422,23.8,23.9,63.2,"frijoles, huevo, nopal",13,0,no saludable,elaborado
347,Receta 347,327,20.7,19.9,62.4,"lechuga, tortilla, arroz, espinaca",26,1,vegetariana,rapido
348,Receta 348,255,6.1,13.2,29,"frijoles, huevo, tofu, aguacate",28,1,vegetariana,rapido
349,Receta 349,587,6.3,22.2,20.4,"nopal, tortilla, brócoli, pasta, calabaza",48,1,alta en fibra,elaborado
350,Receta 350,332,19.9,12.8,79.7,"huevo, pepino, queso, calabaza",17,1,alta en proteinas,elaborado
351,Receta 351,430,9.6,7.1,29.7,"quinoa, cebolla, pollo, tortilla, arroz",25,1,alta en fibra,rapido
352,Receta 352,437,4.1,22.9,24.3,"aguacate, jitomate, lentejas, zanahoria",47,1,baja en carbohidratos,rapido
353,Receta 353,665,4.5,3.3,22.6,"pan, frijoles, calabaza, espinaca",59,1,baja en grasas,elaborado
354,Receta 354,306,15,9.8,59.5,"jitomate, cebolla, pasta",40,1,baja en grasas,rapido
355,Receta 355,575,24.8,7.5,66,"brócoli, pepino, huevo, nopal",15,1,vegetariana,elaborado
356,Receta 356,685,3.4,29.2,62.9,"calabaza, pepino, carne",19,1,baja en carbohidratos,rapido
357,Receta 357,201,11.7,7.1,12,"brócoli, carne, aguacate, tofu, pan",47,1,alta en fibra,elaborado
358,Receta 358,227,21.2,21.1,64.3,"espinaca, zanahoria, frijoles, tofu",16,1,baja en carbohidratos,elaborado
359,Receta 359,320,13.4,16.2,70.3,"pepino, pasta, tofu, arroz, pollo",56,1,vegetariana,elaborado
360,Receta 360,424,14.5,25,35.9,"zanahoria, queso, aguacate",59,1,baja en grasas,elaborado
361,Receta 361,563,21,10.1,36.4,"huevo, calabaza, arroz, brócoli, quinoa",24,1,alta en fibra,elaborado
362,Receta 362,478,10.7,13.7,14,"nopal, brócoli, jitomate, pasta",32,1,alta en fibra,rapido
363,Receta 363,683,23.6,21.8,30.1,"pollo, aguacate, pescado, zanahoria",54,0,no saludable,rapido
364,Receta 364,390,22.6,21.2,59.3,"arroz, calabaza, jitomate",31,1,alta en proteinas,rapido
365,Receta 365,499,6.5,29.7,55.6,"pescado, brócoli, tortilla, quinoa",15,1,baja en carbohidratos,rapido
366,Receta 366,284,12.5,29.7,54.5,"pollo, lechuga, pasta, espinaca",10,1,vegetariana,rapido
367,Receta 367,325,9.9,26.4,32.3,"brócoli, pescado, quinoa, huevo, jitomate",54,1,vegetariana,elaborado
368,Receta 368,220,4.4,6,75.2,"pescado, carne, brócoli, pasta",29,1,vegetariana,rapido
369,Receta 369,640,9.9,24.8,67,"jitomate, huevo, queso, tofu",19,1,vegetariana,elaborado
370,Receta 370,407,19.2,15.1,78,"jitomate, frijoles, brócoli, lechuga",48,0,no saludable,rapido
371,Receta 371,551,12.4,11.2,18.8,"zanahoria, huevo, espinaca, queso",58,1,alta en fibra,rapido
372,Receta 372,216,19,6.7,40,"pasta, pollo, tofu, pescado, zanahoria",38,1,baja en grasas,rapido
373,Receta 373,450,18,24.5,53.3,"pollo, espinaca, zanahoria",26,1,baja en grasas,elaborado
374,Receta 374,500,14.9,12.5,70.1,"pan, pepino, frijoles",17,1,baja en grasas,elaborado
375,Receta 375,452,6.6,9.1,77.4,"cebolla, carne, zanahoria, nopal",57,1,baja en carbohidratos,elaborado
376,Receta 376,635,23,14.6,44.5,"calabaza, lechuga, quinoa, lentejas, cebolla",22,1,vegetariana,elaborado
377,Receta 377,223,11.7,18.6,23.4,"lechuga, aguacate, jitomate, cebolla",10,1,alta en proteinas,elaborado
378,Receta 378,523,22.5,29.4,17.4,"pepino, pasta, nopal, aguacate",43,0,no saludable,rapido
379,Receta 379,395,25,27,22.2,"cebolla, carne, arroz, espinaca, pan",39,1,vegetariana,elaborado
380,Receta 380,246,10.2,29.3,36.7,"carne, pescado, quinoa, brócoli",58,1,baja en grasas,rapido
381,Receta 381,419,9,11,46.2,"pasta, cebolla, nopal, pollo",31,1,baja en carbohidratos,elaborado
382,Receta 382,502,4.3,19.6,31.9,"queso, calabaza, pollo, zanahoria",57,1,baja en carbohidratos,rapido
383,Receta 383,216,20.6,18.2,72.7,"queso, zanahoria, quinoa, espinaca",32,1,vegetariana,rapido
384,Receta 384,461,13.6,27.3,22.4,"pasta, tofu, pan, jitomate, pepino",59,1,vegetariana,rapido
385,Receta 385,407,18.2,27.4,34,"pasta, zanahoria, arroz, tortilla, lentejas",23,1,vegetariana,elaborado
386,Receta 386,245,22.9,4.9,32.7,"huevo, lechuga, tofu, quinoa",49,1,vegetariana,rapido
387,Receta 387,298,3.4,12,35.4,"pan, carne, pescado, quinoa",19,1,baja en carbohidratos,elaborado
388,Receta 388,398,10,24.1,70.2,"huevo, espinaca, jitomate, queso",14,1,alta en fibra,rapido
389,Receta 389,502,24.9,19.8,78.6,"lechuga, pepino, aguacate, espinaca",31,1,alta en fibra,rapido
390,Receta 390,538,13.1,29.6,37.3,"cebolla, huevo, lentejas",25,0,no saludable,rapido
391,Receta 391,530,17.1,14.4,57.5,"tortilla, lentejas, pepino",31,0,no saludable,elaborado
392,Receta 392,408,4.2,29.9,62.2,"pescado, tofu, arroz, pepino",50,1,vegetariana,elaborado
393,Receta 393,423,20.1,14.8,75.6,"pollo, tofu, pasta, espinaca",35,1,baja en carbohidratos,elaborado
394,Receta 394,291,24.2,9.1,29.7,"brócoli, pepino, pollo, aguacate",24,1,baja en carbohidratos,rapido
395,Receta 395,651,8.8,27,10.3,"jitomate, espinaca, nopal, lechuga, calabaza",16,1,vegetariana,elaborado
396,Receta 396,325,17.2,29,13.2,"carne, brócoli, arroz, pan",34,0,no saludable,elaborado
397,Receta 397,237,11,8.4,37.6,"pasta, aguacate, tortilla, nopal",22,1,baja en carbohidratos,elaborado
398,Receta 398,616,24.8,2.3,55.6,"espinaca, quinoa, queso, pasta, pollo",10,1,baja en carbohidratos,rapido
399,Receta 399,232,11.5,26.9,36.4,"brócoli, quinoa, aguacate, lechuga, pan",40,1,baja en carbohidratos,elaborado
400,Receta 400,625,23.2,24.4,52,"lechuga, calabaza, aguacate, pepino, lentejas",30,1,vegetariana,rapido
401,Receta 401,485,20.5,22.6,42.1,"lechuga, cebolla, aguacate, frijoles",17,1,alta en proteinas,elaborado
402,Receta 402,672,6.5,5.8,19,"brócoli, nopal, aguacate, espinaca",23,1,vegetariana,rapido
403,Receta 403,494,11.6,20.9,56.4,"aguacate, pan, lechuga",50,1,baja en grasas,elaborado
404,Receta 404,588,10.8,28.1,79.3,"arroz, pollo, pasta",45,1,vegetariana,elaborado
405,Receta 405,612,20,9.4,62.9,"cebolla, lentejas, lechuga, pasta",48,1,baja en grasas,rapido
406,Receta 406,501,18.7,4.5,54.9,"lentejas, pollo, frijoles, quinoa",48,1,baja en carbohidratos,rapido
407,Receta 407,633,3.6,15.7,40.2,"nopal, pepino, lechuga, brócoli",43,1,alta en fibra,rapido
408,Receta 408,331,21.5,25,74.7,"lechuga, pescado, tofu, aguacate",47,0,no saludable,rapido
409,Receta 409,669,3,18.4,21.7,"frijoles, calabaza, arroz, nopal, quinoa",17,1,vegetariana,elaborado
410,Receta 410,245,10.7,16.9,72.9,"calabaza, pollo, huevo",26,1,vegetariana,rapido
411,Receta 411,263,15.4,14,17,"zanahoria, tofu, queso, calabaza",27,1,alta en proteinas,rapido
412,Receta 412,610,5.3,5.3,62.4,"nopal, lechuga, brócoli",16,1,baja en grasas,elaborado
413,Receta 413,624,20,9.5,64.3,"carne, pollo, calabaza",47,1,alta en proteinas,rapido
414,Receta 414,659,6.2,18.9,62.1,"quinoa, espinaca, zanahoria, jitomate",40,1,baja en carbohidratos,elaborado
415,Receta 415,247,21.3,24.7,48.6,"lechuga, aguacate, pescado",18,1,vegetariana,rapido
416,Receta 416,422,11.5,17.2,60.8,"brócoli, calabaza, pepino, queso",56,1,baja en grasas,rapido
417,Receta 417,340,14.6,2.7,11,"frijoles, huevo, nopal",24,1,alta en proteinas,rapido
418,Receta 418,420,6.3,11.3,24.4,"pepino, quinoa, pollo",17,0,no saludable,elaborado
419,Receta 419,621,5.7,7.4,66.8,"lechuga, tortilla, queso",52,0,no saludable,rapido
420,Receta 420,531,6.1,4.9,75.6,"espinaca, aguacate, nopal",60,1,vegetariana,rapido
421,Receta 421,445,17.7,17.6,26,"pasta, aguacate, pan, jitomate, espinaca",52,0,no saludable,elaborado
422,Receta 422,399,4.9,7.6,45.9,"pollo, arroz, pan",16,1,vegetariana,elaborado
423,Receta 423,449,9.9,4.3,33.9,"cebolla, lentejas, calabaza",28,1,alta en proteinas,elaborado
424,Receta 424,382,13.7,18,50.5,"pollo, quinoa, lentejas, espinaca",58,1,vegetariana,rapido
425,Receta 425,442,8.6,4.5,16.6,"tortilla, cebolla, jitomate, pasta",26,0,no saludable,rapido
426,Receta 426,700,3.6,3.9,33.8,"brócoli, queso, carne",18,0,no saludable,elaborado
427,Receta 427,415,24.9,11.3,66.5,"lentejas, tortilla, lechuga",55,1,alta en proteinas,rapido
428,Receta 428,467,25,11.2,42.7,"pollo, jitomate, cebolla",29,1,vegetariana,rapido
429,Receta 429,413,18.6,22.1,78.1,"lentejas, calabaza, zanahoria",32,0,no saludable,rapido
430,Receta 430,250,11.1,15.4,55.9,"pan, aguacate, pasta, cebolla",31,1,baja en carbohidratos,elaborado
431,Receta 431,481,13.1,8.1,35.9,"frijoles, pepino, aguacate, lechuga",39,0,no saludable,elaborado
432,Receta 432,326,16,22.6,43.7,"tofu, queso, pepino, espinaca",20,1,vegetariana,elaborado
433,Receta 433,377,20.6,23.7,32.8,"carne, nopal, queso, pepino, lentejas",43,1,baja en grasas,elaborado
434,Receta 434,351,21.2,17.6,47.3,"calabaza, tortilla, pescado, brócoli, pollo",38,1,baja en grasas,rapido
435,Receta 435,321,16.3,4,57.7,"pollo, pasta, jitomate",45,1,vegetariana,rapido
436,Receta 436,438,18.5,13,45.3,"carne, pasta, pescado, jitomate",42,1,baja en grasas,elaborado
437,Receta 437,654,21.3,10.5,16.7,"lentejas, nopal, calabaza, pan",47,1,alta en fibra,rapido
438,Receta 438,405,9.9,16.7,47.8,"pan, tofu, queso, cebolla, pepino",14,1,vegetariana,rapido
439,Receta 439,542,24.4,23.9,21,"lechuga, calabaza, frijoles",19,1,baja en grasas,rapido
440,Receta 440,663,20.5,9.7,75.5,"brócoli, nopal, cebolla, pepino, tofu",60,1,alta en fibra,rapido
441,Receta 441,420,10.4,18,18.9,"brócoli, lechuga, jitomate, arroz",11,1,baja en grasas,elaborado
442,Receta 442,328,21.7,12.4,78.3,"lentejas, espinaca, arroz",35,1,vegetariana,elaborado
443,Receta 443,327,18,26.6,78.6,"arroz, quinoa, queso",30,1,baja en grasas,rapido
444,Receta 444,638,25,20.7,41.6,"huevo, pan, queso, aguacate, pescado",26,1,baja en grasas,rapido
445,Receta 445,630,20.9,8.6,70.8,"cebolla, tortilla, pescado, huevo, queso",23,1,alta en proteinas,rapido
446,Receta 446,663,4.3,7.9,42.1,"carne, frijoles, pollo, cebolla",35,1,alta en proteinas,rapido
447,Receta 447,236,17.5,16.3,56.5,"jitomate, quinoa, espinaca, pasta",19,1,vegetariana,rapido
448,Receta 448,527,19.1,20.1,48.1,"pepino, queso, pan, espinaca",15,1,baja en grasas,rapido
449,Receta 449,543,5.9,16.3,18.5,"pasta, arroz, espinaca, lechuga",60,1,baja en carbohidratos,rapido
450,Receta 450,438,18.4,20.4,26.6,"frijoles, cebolla, pescado, pepino",49,1,alta en proteinas,elaborado
451,Receta 451,595,21.2,18.4,71.1,"brócoli, jitomate, pan",59,1,alta en fibra,elaborado
452,Receta 452,536,9.8,6.9,51.2,"carne, pescado, cebolla, huevo",31,0,no saludable,elaborado
453,Receta 453,442,13,14.5,48.8,"lentejas, nopal, arroz, frijoles",31,0,no saludable,rapido
454,Receta 454,606,3.7,14.3,34.8,"frijoles, queso, tofu, cebolla",60,1,vegetariana,rapido
455,Receta 455,342,20.8,17.4,15.9,"pescado, lentejas, quinoa, pepino, zanahoria",42,0,no saludable,elaborado
456,Receta 456,415,23.7,24.9,24.3,"frijoles, pollo, cebolla, nopal, tofu",53,1,alta en fibra,elaborado
457,Receta 457,260,5.8,26.5,10.3,"cebolla, arroz, aguacate",27,1,baja en carbohidratos,rapido
458,Receta 458,281,6.3,21.2,59.8,"lechuga, tortilla, queso",33,1,baja en grasas,elaborado
459,Receta 459,369,24.4,27.8,20.1,"pescado, cebolla, calabaza, pollo, brócoli",21,1,vegetariana,rapido
460,Receta 460,321,11.7,19.8,60.7,"pescado, carne, frijoles, huevo",15,1,baja en grasas,rapido
461,Receta 461,374,7.1,26.1,63.4,"lentejas, lechuga, arroz",49,1,alta en proteinas,elaborado
462,Receta 462,575,10.4,2.8,52,"pasta, huevo, nopal, pescado, quinoa",36,0,no saludable,rapido
463,Receta 463,558,18.3,5.1,69,"calabaza, aguacate, queso, pan, pepino",45,1,baja en grasas,rapido
464,Receta 464,513,22.5,4.4,76.7,"aguacate, huevo, brócoli, pescado, pasta",33,1,baja en grasas,rapido
465,Receta 465,352,19.9,20,13.6,"brócoli, calabaza, lechuga, jitomate",44,1,baja en grasas,elaborado
466,Receta 466,397,15.5,6.7,45.3,"quinoa, nopal, aguacate",15,0,no saludable,elaborado
467,Receta 467,324,12.6,15.5,57.5,"calabaza, tofu, lechuga, huevo",58,1,alta en proteinas,rapido
468,Receta 468,493,21.7,21,33.3,"zanahoria, brócoli, calabaza, huevo, aguacate",46,1,baja en grasas,rapido
469,Receta 469,688,16.8,21.9,15.9,"lechuga, lentejas, calabaza",10,0,no saludable,elaborado
470,Receta 470,227,22.2,16.2,21.9,"brócoli, huevo, arroz, cebolla",42,1,baja en grasas,elaborado
471,Receta 471,562,8.9,25.5,41.8,"lechuga, nopal, tofu, espinaca, queso",36,1,alta en fibra,elaborado
472,Receta 472,257,15.7,10.1,79.5,"aguacate, brócoli, carne",34,1,baja en carbohidratos,elaborado
473,Receta 473,569,4.7,11.2,69.7,"huevo, lechuga, frijoles",49,1,baja en grasas,elaborado
474,Receta 474,500,18.2,9.7,53.6,"aguacate, brócoli, quinoa",15,1,vegetariana,elaborado
475,Receta 475,620,22.7,4.4,51.5,"pasta, lentejas, arroz",38,0,no saludable,rapido
476,Receta 476,545,23.1,4.6,35.9,"jitomate, calabaza, pepino, arroz, pollo",59,1,baja en grasas,elaborado
477,Receta 477,289,5.3,23.5,41,"aguacate, jitomate, arroz, espinaca, nopal",59,1,alta en proteinas,elaborado
478,Receta 478,666,13.6,19.8,11.8,"tortilla, pan, calabaza, pasta, pollo",34,1,alta en proteinas,elaborado
479,Receta 479,487,14.9,24.9,41.4,"calabaza, arroz, nopal, pan, aguacate",40,1,vegetariana,rapido
480,Receta 480,217,20.7,10.3,78.9,"pan, carne, pasta, tortilla",11,0,no saludable,rapido
481,Receta 481,499,5.7,17.1,63,"frijoles, pasta, aguacate, lechuga",29,1,alta en proteinas,rapido
482,Receta 482,620,21.3,7.6,57.9,"aguacate, pepino, pasta, jitomate, tortilla",39,1,vegetariana,elaborado
483,Receta 483,529,5.6,18.1,57.1,"brócoli, nopal, frijoles, pepino",17,0,no saludable,rapido
484,Receta 484,307,18.4,28.6,78.8,"brócoli, pan, pollo",29,1,alta en fibra,rapido
485,Receta 485,632,15.4,22,61.9,"pepino, arroz, zanahoria, cebolla",26,1,baja en carbohidratos,elaborado
486,Receta 486,370,12.3,24.8,21.5,"tofu, queso, carne",21,0,no saludable,rapido
487,Receta 487,457,21,24.8,70.2,"aguacate, pan, quinoa, pasta, brócoli",30,1,baja en grasas,rapido
488,Receta 488,420,17.1,12.3,77.4,"carne, calabaza, lechuga, brócoli",36,1,alta en fibra,rapido
489,Receta 489,498,6,16.8,39.8,"jitomate, pan, pollo",29,1,alta en fibra,elaborado
490,Receta 490,461,20.2,3.8,19.1,"calabaza, pollo, lentejas, arroz, tofu",40,1,alta en fibra,elaborado
491,Receta 491,327,22.6,16.8,51.7,"lentejas, arroz, espinaca, lechuga, huevo",13,1,alta en fibra,rapido
492,Receta 492,342,13.6,27.4,21,"pepino, zanahoria, arroz",47,1,alta en proteinas,rapido
493,Receta 493,378,13.6,29.1,34.5,"tofu, arroz, lechuga, quinoa, pescado",47,0,no saludable,rapido
494,Receta 494,629,9.6,26.9,41,"pasta, quinoa, arroz",49,1,baja en carbohidratos,rapido
495,Receta 495,495,17,2.8,24.9,"tortilla, brócoli, espinaca",24,1,alta en proteinas,elaborado
496,Receta 496,409,10.8,4.5,65.2,"lentejas, espinaca, calabaza",25,1,baja en grasas,rapido
497,Receta 497,669,9.6,4.2,74.4,"cebolla, pepino, aguacate, lechuga",24,1,alta en fibra,rapido
498,Receta 498,225,18.7,4.1,60.1,"pollo, calabaza, cebolla, arroz",22,1,alta en fibra,elaborado
499,Receta 499,362,7.4,2.4,10.9,"quinoa, espinaca, aguacate",58,1,baja en grasas,elaborado
500,Receta 500,569,9.2,24.7,27.4,"cebolla, brócoli, pescado",49,1,alta en fibra,rapido
